Variable;Coefficient;Processus;Prunning
Intercept;-5.9957832;Occ_budbreak;unpr
Diam_1;0.3150577;Occ_budbreak;unpr
intensite;6.0735536;Occ_budbreak;unpr
zeta_day_min;3.7293263;Occ_budbreak;unpr
Intercept;-8.217694;Occ_budbreak;pr
Diam_3;0.391479;Occ_budbreak;pr
intensite;8.356650;Occ_budbreak;pr
TrPPFD_day_min;20.137343;Occ_budbreak;pr
zeta_day_12;1.121617;Occ_budbreak;pr
Intercept;-4.1112335;Int_budbreak;unpr
Diam_1;0.2365252;Int_budbreak;unpr
intensite;2.2308282;Int_budbreak;unpr
zeta_day_min;2.9668091;Int_budbreak;unpr
Intercept;-1.8398110;Int_budbreak;pr
Diam_3;0.1627636;Int_budbreak;pr
intensite;2.4586841;Int_budbreak;pr
TrPPFD_day_min;19.0184703;Int_budbreak;pr
Diam_3:TrPPFD_day_min;-0.8342562;Int_budbreak;pr
intensite:TrPPFD_day_min;-13.0374139;Int_budbreak;pr
Intercept;-7.640652;Occ_buddeath;unpr
ToT_F;1.503009;Occ_buddeath;unpr
Intercept;-2.3623043;Occ_buddeath;pr
ToT_F;0.4732112;Occ_buddeath;pr
Intercept;-0.6490830;Int_buddeath;pr
PPFDcum_day_max;-0.1423804;Int_buddeath;pr
ToT_F;0.1982366;Int_buddeath;pr
Intercept;0.4560114;Occ_GUdeath;pr
Diam_3;-0.2367603;Occ_GUdeath;pr
intensite;1.9890959;Occ_GUdeath;pr
ni1;-0.7027483;Occ_GUdeath;pr
ni2;0.2437355;Occ_GUdeath;pr
TrPPFD_day_min;-16.2740885;Occ_GUdeath;pr
